date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-04-28 00:00:00,16.9,12.3,22.5,0,,,5.6,,1017.5,
2025-04-29 00:00:00,16.6,11.8,21.5,0,,,6.3,,1017.4,
2025-04-30 00:00:00,18,13.3,21.1,0,,,8.9,,1017.1,
2025-05-01 00:00:00,18.2,15.3,21.2,0,,,13.7,,1016.6,
2025-05-02 00:00:00,19,15.6,21.6,0,,,4.7,,1016.9,
2025-05-03 00:00:00,18.7,15.3,22.5,0,,,6.3,,1017.4,
2025-05-04 00:00:00,20.2,17.3,23.2,12.2,,,7.9,,1015.7,
2025-05-05 00:00:00,18.1,15.3,23.4,22.9,7,,19.7,,1017.7,
2025-05-06 00:00:00,19.7,15.9,22,11.5,,,14.5,,1013.3,
2025-05-07 00:00:00,19.9,18.5,21.4,29.1,,,16.8,,1010.1,
2025-05-08 00:00:00,18.8,16,20.9,1.3,,,11.4,,1008.3,
2025-05-09 00:00:00,18.1,14.3,21.7,0,,,7.9,,1013,
2025-05-10 00:00:00,18.5,15,22.1,0,,,8.4,,1020.3,
2025-05-11 00:00:00,17.1,14.5,22.5,0,,,13.3,,1026,
2025-05-12 00:00:00,16.8,13.8,19.7,0,,,17,,1023.5,
2025-05-13 00:00:00,18,14,20.5,0,,,12.7,,1017.7,
2025-05-14 00:00:00,19.6,15.7,22.2,0,,,8.7,,1017.5,
2025-05-15 00:00:00,20.4,17.7,22.9,22,,,7.4,,1015.4,
2025-05-16 00:00:00,20.2,18.2,21.7,18,,,13.6,,1014.3,
2025-05-17 00:00:00,18.9,17.3,21,10.4,9,,17,,1008.1,
2025-05-18 00:00:00,16.4,12.3,21,13.9,4,,10.5,,1015.4,
2025-05-19 00:00:00,13.4,10.3,18,1,,,8.2,,1020.2,
2025-05-20 00:00:00,12.9,9,17.5,0.3,,,4.9,,1022.3,
2025-05-21 00:00:00,12.9,11,17.5,0,,,10.3,,1023.7,
2025-05-22 00:00:00,12.6,9.2,15,0,,,11.1,,1025.4,
2025-05-23 00:00:00,13.6,10.8,16,0,,,18.7,,1023.8,
2025-05-24 00:00:00,15.1,11.5,16.5,2.4,,,15.4,,1021.4,
2025-05-25 00:00:00,15.1,14.1,17.1,0,,,12.2,,1018.2,
2025-05-26 00:00:00,17.1,13.6,18.6,0.8,,,11.4,,1012.1,
2025-05-27 00:00:00,15.5,12.4,19.2,0,2,,15.5,,1009.8,
2025-05-28 00:00:00,10.3,7.1,14.8,0,2,,11.5,,1022.8,
2025-05-29 00:00:00,10,6,13.1,0,,,6.5,,1025.2,
2025-05-30 00:00:00,10.2,5.5,14.2,0,,,11.5,,1022,
2025-05-31 00:00:00,12.4,7.5,17.5,0.3,,,7.5,,1021.4,
2025-06-01 00:00:00,11.6,5.4,18.1,0,,,7.1,,1023.4,
2025-06-02 00:00:00,12.3,8.1,17.3,0,,,13.3,,1020.6,
2025-06-03 00:00:00,12.8,9.6,17.6,0,,,6,,1016.6,
2025-06-04 00:00:00,13.6,10.3,17,0,,,8,,1013.3,
2025-06-05 00:00:00,12.5,9.3,17.4,0,,,8.6,,1019.8,
2025-06-06 00:00:00,12.2,8.3,17.1,0,,,7.6,,1020.9,
2025-06-07 00:00:00,12.9,8.8,17.5,0,,,4.3,,1020.5,
2025-06-08 00:00:00,12.1,10,13.7,0,,,8.8,,1022.8,
2025-06-09 00:00:00,9.8,7.3,14.4,0,,,7.7,,1025.5,
2025-06-10 00:00:00,10.4,6,14,0,,,6.1,,1024.9,
2025-06-11 00:00:00,12.6,8.7,15,0,,,14.7,,1027,
2025-06-12 00:00:00,13.4,10.3,16.5,0,,,22.5,,1021,
